username,course_id,click_about,click_courseware,click_forum,click_info,click_progress,close_courseware,create_comment,create_thread,load_video,pause_video,play_video,problem_check,problem_check_correct,problem_check_incorrect,problem_get,problem_save,reset_problem,seek_video,stop_video,truth
32670,44081,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
32670,44126,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1
32670,44173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32670,44249,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1
40980,44062,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16871,44028,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
16871,44031,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
16871,44243,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
25008,44180,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
25008,44248,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
36072,44036,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1
37403,44027,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
37403,44090,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
37403,44106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
42046,44064,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
43376,44254,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
43826,44009,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
43826,44014,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
43826,44035,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
43826,44062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4786,44017,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4786,44025,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
4786,44030,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
4786,44033,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1
4786,44158,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
5852,44133,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7509,44064,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
8342,44031,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
8342,44222,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10431,44115,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
10431,44147,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0
12476,44043,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
12531,44045,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12684,44089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13143,44132,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
13143,44221,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
13143,44236,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
13509,44168,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
13596,44120,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
13596,44237,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
14520,44173,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
14569,44058,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14569,44059,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1
21033,44048,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24016,44030,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
24238,44246,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
26252,44049,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
26252,44097,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
27450,44013,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0
27450,44021,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
27450,44022,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
27450,44028,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
27450,44059,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27450,44173,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1
27450,44214,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
28500,44219,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0
28582,44179,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
29041,44065,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29041,44184,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
29198,44031,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
29198,44045,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1
29198,44188,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
30920,44028,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1
30920,44029,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
30920,44201,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
30920,44205,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
30920,44222,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
30976,44064,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31779,44028,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
31779,44198,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
31779,44222,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0
33475,44117,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
33475,44127,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
33475,44220,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34470,44121,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35359,44021,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
35359,44027,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
35359,44028,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35359,44173,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
35359,44177,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
35692,44016,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
35692,44029,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36282,44026,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36794,44240,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
37081,44115,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
37760,44030,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0
37760,44176,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37866,44065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37970,44211,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
38015,44016,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1
38015,44031,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38015,44065,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
38036,44012,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
38036,44021,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1
38036,44125,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
38106,44181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
38982,44027,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
39817,44013,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0
39817,44085,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1
39817,44173,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
40103,44120,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
40103,44121,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
40335,44028,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0
40798,44065,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
40798,44211,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
40798,44220,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
41077,44086,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
41357,44157,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0
41357,44242,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
42978,44144,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
43060,44037,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
43060,44115,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
43168,44182,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
43217,44039,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
43294,44031,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43294,44036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43294,44085,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43294,44105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43294,44179,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1
43294,44205,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43469,44063,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
43483,44050,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
43483,44222,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43503,44062,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
43623,44121,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
43722,44041,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
43781,44021,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
43781,44126,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
43781,44180,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1
316,44064,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
537,44031,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
1320,44104,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
1320,44105,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
1320,44173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1525,44177,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
4342,44081,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4342,44179,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
4358,44100,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
4797,44170,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4904,44161,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
